Time,Region,UserName,ETSMember,ETSServiceAuto,ETSQuestionAuto,AnswerHit,ETSQuesionManual,UserSays,UserSaysLower,JARVISAnswerKB,KBpageId,KBurl,KBWikiPosition,JARVISAnswerForm,SessionId
2020-09-10T09:41:19.318698Z,TW,,,,,,,GIS,gis,Acronym Info,370935757,,,370935757,80255677-c9f3-4634-9896-42c4bef62909
2020-09-10T09:42:45.71586Z,TW,,,,,,,officescan,officescan,Windows - OfficeScan,77746542,,,77746542,9bf6576c-b672-4603-9a99-8bd625f23125
2020-09-10T09:55:55.91214Z,PH,,,,,,,install tools,install tools,How Do I Request for a Symposium Web Access,21266500,,,21266500,14babec4-3784-4842-99f9-7b11c870ebdc
2020-09-10T09:56:26.599455Z,PH,,,,,,,install admin rights,install admin rights,How Do I Request for a Symposium Web Access,21266500,,,21266500,14babec4-3784-4842-99f9-7b11c870ebdc
2020-09-10T09:56:33.592121Z,PH,,,,,,,install vpn,install vpn,How Do I Request for a Symposium Web Access,21266500,,,21266500,14babec4-3784-4842-99f9-7b11c870ebdc
2020-09-10T09:56:46.127978Z,PH,,,,,,,request admin rights,request admin rights,Requesting for new Skillset/Script,21266493,,,21266493,14babec4-3784-4842-99f9-7b11c870ebdc
2020-09-10T10:00:05.435688Z,APAC,,,,,,,service cloud,service cloud,CDC ETS infra handbook,583540670,https://wiki.jarvis.trendmicro.com/display/ETSKF/CDC+ETS+infra+handbook,Services->Lab Service->CDC Lab Service->CDC ETS infra handbook,583540670,964572bd-1e9b-4faf-85ca-67be68b86e8f
2020-09-10T10:01:44.982399Z,JP,,,,,,,fw,fw,,,,,,456f3864-b410-4bd1-a6aa-20f06472fd3b
2020-09-10T10:03:58.281663Z,PH,,,,,,,software,software,Request for MSDN License and Other Licenses for Non-standard Applications,21266502,,,21266502,ccd7e704-f20c-494e-bcab-04ab1d9b3f94
2020-09-10T10:06:53.719463Z,TW,,,,,,,hi,hi,,,,,,80660dd2-ecb1-4c64-a17b-2651ea9a4957
2020-09-10T10:07:06.069263Z,TW,,,,,,,hi,hi,,,,,,80660dd2-ecb1-4c64-a17b-2651ea9a4957
2020-09-10T10:07:15.577661Z,TW,,,,,,,DL,dl,Acronym Info,370935757,,,370935757,80660dd2-ecb1-4c64-a17b-2651ea9a4957
2020-09-10T10:13:45.100149Z,Europe,,,,,,,"Hi, I can't login into Marketing Collaboration Portal, as my neither my e-mail address nor my user name ""don't exist in the system"" according to the error. Could you please have a look?","hi, i can't login into marketing collaboration portal, as my neither my e-mail address nor my user name ""don't exist in the system"" according to the error. could you please have a look?",,,,,,c0fc220c-7272-43f2-9b8e-f8b17f350f5e
2020-09-10T10:28:47.455348Z,NABU,,,,,,,general,general,General JIRA Setting,87339542,,,87339542,98eba9d3-9abc-47b4-aa3d-fb85a0707ab4
2020-09-10T10:28:50.766067Z,NABU,,,,,,,JarvisCommandUserNeedHelp,jarviscommanduserneedhelp,,,,,,98eba9d3-9abc-47b4-aa3d-fb85a0707ab4
2020-09-10T10:29:23.605966Z,TW,,,,,,,o365,o365,Office 365 Pilot,118459963,,,118459963,4ac0ed79-43de-4286-af27-7674b69a8a49
2020-09-10T10:39:55.264475Z,NABU,,,,,,,XDR,xdr,XDR,446539526,,,446539526,fe0f021f-4cf8-4cf6-8c55-a2efa330e129
